date,state,cases_new,cases_import,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax
1/1/2022,Johor,426,44,437,5098,121,2,285
1/1/2022,Kedah,254,32,197,1753,74,0,154
1/1/2022,Kelantan,350,36,317,3516,98,4,220
1/1/2022,Melaka,182,9,89,1397,29,1,137
1/1/2022,Negeri Sembilan,97,27,121,1419,15,1,64
1/1/2022,Pahang,268,15,183,2616,57,0,193
1/1/2022,Perak,164,37,272,1698,22,0,117
1/1/2022,Perlis,22,0,23,251,2,0,18
1/1/2022,Pulau Pinang,206,9,93,2314,35,1,141
1/1/2022,Sabah,264,8,150,4587,65,1,176
1/1/2022,Sarawak,24,1,40,222,3,2,12
1/1/2022,Selangor,786,57,1106,10327,178,4,542
1/1/2022,Terengganu,130,22,262,2325,24,0,92
1/1/2022,W.P. Kuala Lumpur,191,38,224,2983,45,0,126
1/1/2022,W.P. Labuan,2,0,3,45,1,0,1
1/1/2022,W.P. Putrajaya,20,11,30,398,2,0,15
2/1/2022,Johor,407,30,0,5502,97,0,300
2/1/2022,Kedah,225,45,216,1761,49,0,153
2/1/2022,Kelantan,275,33,402,3388,58,5,191
2/1/2022,Melaka,148,16,116,1428,44,0,84
2/1/2022,Negeri Sembilan,89,17,123,1385,11,2,64
2/1/2022,Pahang,203,11,121,2697,59,1,127
2/1/2022,Perak,149,29,164,1681,20,1,104
2/1/2022,Perlis,13,5,15,249,2,0,11
2/1/2022,Pulau Pinang,166,11,480,2000,37,1,111
2/1/2022,Sabah,165,20,103,4649,45,1,109
2/1/2022,Sarawak,17,0,30,209,2,0,10
2/1/2022,Selangor,734,63,909,10148,109,4,569
2/1/2022,Terengganu,122,17,407,2037,15,0,96
2/1/2022,W.P. Kuala Lumpur,135,28,182,2934,33,2,85
2/1/2022,W.P. Labuan,15,5,3,57,2,0,11
2/1/2022,W.P. Putrajaya,19,3,20,397,4,0,13
3/1/2022,Johor,329,47,455,5375,86,2,215
3/1/2022,Kedah,254,19,257,1755,61,5,164
3/1/2022,Kelantan,272,37,425,3234,59,0,180
3/1/2022,Melaka,121,12,326,1222,25,0,75
3/1/2022,Negeri Sembilan,71,17,103,1352,7,1,51
3/1/2022,Pahang,158,7,138,2716,36,0,113
3/1/2022,Perak,112,18,165,1625,12,0,86
3/1/2022,Perlis,12,8,14,247,0,0,12
3/1/2022,Pulau Pinang,160,15,269,1889,18,1,118
3/1/2022,Sabah,161,17,507,4303,37,2,108
3/1/2022,Sarawak,12,0,25,196,4,0,6
3/1/2022,Selangor,673,58,394,10423,128,5,481
3/1/2022,Terengganu,173,6,247,1962,35,0,125
3/1/2022,W.P. Kuala Lumpur,167,35,181,2918,29,4,116
3/1/2022,W.P. Labuan,2,0,2,57,1,0,1
3/1/2022,W.P. Putrajaya,13,4,27,383,2,0,9
4/1/2022,Johor,284,37,33,5624,79,1,182
4/1/2022,Kedah,237,14,185,1805,57,2,155
4/1/2022,Kelantan,397,17,338,3291,129,2,244
4/1/2022,Melaka,105,8,80,1247,36,0,58
4/1/2022,Negeri Sembilan,117,19,84,1385,18,0,86
4/1/2022,Pahang,146,8,317,2543,33,1,99
4/1/2022,Perak,101,13,142,1583,26,1,58
4/1/2022,Perlis,45,25,22,270,4,0,33
4/1/2022,Pulau Pinang,230,22,339,1779,49,0,149
4/1/2022,Sabah,258,9,102,4458,66,2,176
4/1/2022,Sarawak,24,1,31,189,3,0,14
4/1/2022,Selangor,514,85,740,10194,83,5,385
4/1/2022,Terengganu,138,5,155,1944,29,0,97
4/1/2022,W.P. Kuala Lumpur,206,64,255,2869,51,0,126
4/1/2022,W.P. Labuan,5,0,4,58,0,0,3
4/1/2022,W.P. Putrajaya,35,5,35,383,13,0,17
5/1/2022,Johor,344,31,111,5852,91,0,231
5/1/2022,Kedah,174,12,274,1704,43,0,114
5/1/2022,Kelantan,327,24,383,3234,67,1,232
5/1/2022,Melaka,74,1,89,1231,19,0,40
5/1/2022,Negeri Sembilan,181,20,104,1462,37,2,128
5/1/2022,Pahang,153,10,281,2414,27,0,115
5/1/2022,Perak,122,8,148,1555,20,0,88
5/1/2022,Perlis,25,8,20,275,3,0,18
5/1/2022,Pulau Pinang,222,13,276,1724,51,1,152
5/1/2022,Sabah,280,2,112,4621,83,0,166
5/1/2022,Sarawak,47,0,24,210,10,0,22
5/1/2022,Selangor,908,44,906,10193,175,5,656
5/1/2022,Terengganu,128,2,168,1900,25,1,84
5/1/2022,W.P. Kuala Lumpur,245,70,276,2838,48,4,167
5/1/2022,W.P. Labuan,15,5,5,68,3,0,9
5/1/2022,W.P. Putrajaya,25,2,18,390,5,0,16
6/1/2022,Johor,410,24,394,5866,114,1,270
6/1/2022,Kedah,217,16,242,1675,59,1,132
6/1/2022,Kelantan,296,27,336,3193,77,1,195
6/1/2022,Melaka,168,10,200,1198,47,2,104
6/1/2022,Negeri Sembilan,160,24,166,1456,38,0,100
6/1/2022,Pahang,260,15,209,2464,69,0,179
6/1/2022,Perak,166,15,137,1583,24,2,119
6/1/2022,Perlis,21,4,25,270,8,0,12
6/1/2022,Pulau Pinang,222,16,188,1757,34,1,166
6/1/2022,Sabah,245,3,215,4651,66,3,158
6/1/2022,Sarawak,19,0,35,194,4,0,11
6/1/2022,Selangor,919,110,942,10168,156,4,672
6/1/2022,Terengganu,153,15,158,1893,30,2,107
6/1/2022,W.P. Kuala Lumpur,229,76,202,2865,40,2,162
6/1/2022,W.P. Labuan,20,0,4,84,5,0,15
6/1/2022,W.P. Putrajaya,38,9,31,397,7,0,28
7/1/2022,Johor,299,15,290,5874,82,0,191
7/1/2022,Kedah,216,15,236,1655,57,1,140
7/1/2022,Kelantan,385,21,464,3114,86,3,258
7/1/2022,Melaka,141,4,181,1157,32,1,84
7/1/2022,Negeri Sembilan,172,31,144,1483,45,2,102
7/1/2022,Pahang,226,7,310,2380,44,2,156
7/1/2022,Perak,161,28,150,1593,24,1,114
7/1/2022,Perlis,14,2,22,262,3,0,10
7/1/2022,Pulau Pinang,219,14,226,1749,42,1,153
7/1/2022,Sabah,242,7,170,4722,66,0,161
7/1/2022,Sarawak,18,0,17,195,4,0,4
7/1/2022,Selangor,879,87,854,10189,173,4,597
7/1/2022,Terengganu,94,4,141,1843,21,0,63
7/1/2022,W.P. Kuala Lumpur,271,82,207,2929,52,3,171
7/1/2022,W.P. Labuan,14,0,10,88,6,0,7
7/1/2022,W.P. Putrajaya,30,2,25,402,9,0,18
8/1/2022,Johor,376,22,264,5984,94,2,245
8/1/2022,Kedah,187,5,260,1580,52,1,118
8/1/2022,Kelantan,326,9,473,2965,93,3,204
8/1/2022,Melaka,199,7,188,1168,59,5,107
8/1/2022,Negeri Sembilan,139,10,114,1508,21,1,101
8/1/2022,Pahang,219,8,163,2434,53,1,147
8/1/2022,Perak,132,7,139,1584,27,0,90
8/1/2022,Perlis,20,0,27,255,3,0,17
8/1/2022,Pulau Pinang,169,9,218,1699,29,1,121
8/1/2022,Sabah,199,3,160,4759,51,1,126
8/1/2022,Sarawak,15,0,27,183,5,0,4
8/1/2022,Selangor,871,91,796,10262,156,1,635
8/1/2022,Terengganu,79,2,144,1776,20,0,57
8/1/2022,W.P. Kuala Lumpur,301,124,153,3076,44,2,197
8/1/2022,W.P. Labuan,5,0,10,83,2,0,3
8/1/2022,W.P. Putrajaya,14,2,25,391,2,0,11
9/1/2022,Johor,326,12,155,6154,67,0,224
9/1/2022,Kedah,223,5,245,1558,50,1,149
9/1/2022,Kelantan,195,9,372,2787,50,0,126
9/1/2022,Melaka,139,5,82,1225,35,3,88
9/1/2022,Negeri Sembilan,158,39,122,1543,19,1,109
9/1/2022,Pahang,148,7,174,2405,30,1,100
9/1/2022,Perak,121,17,128,1576,36,2,67
9/1/2022,Perlis,8,0,9,254,0,0,7
9/1/2022,Pulau Pinang,186,8,196,1689,46,0,126
9/1/2022,Sabah,198,1,175,4781,38,2,139
9/1/2022,Sarawak,22,0,26,179,0,0,18
9/1/2022,Selangor,770,81,654,10375,134,2,538
9/1/2022,Terengganu,90,7,209,1652,20,1,54
9/1/2022,W.P. Kuala Lumpur,272,129,144,3203,29,1,201
9/1/2022,W.P. Labuan,18,1,3,98,5,0,12
9/1/2022,W.P. Putrajaya,14,2,20,385,2,0,9
10/1/2022,Johor,278,19,390,6042,52,0,207
10/1/2022,Kedah,265,5,208,1615,81,0,168
10/1/2022,Kelantan,197,2,374,2608,59,2,125
10/1/2022,Melaka,123,4,61,1286,28,0,77
10/1/2022,Negeri Sembilan,83,28,125,1500,6,1,61
10/1/2022,Pahang,193,4,175,2422,44,2,120
10/1/2022,Perak,116,4,123,1569,19,1,89
10/1/2022,Perlis,2,0,17,239,0,0,0
10/1/2022,Pulau Pinang,165,15,260,1594,50,1,99
10/1/2022,Sabah,161,5,219,4723,42,1,106
10/1/2022,Sarawak,7,0,20,166,2,0,5
10/1/2022,Selangor,666,96,577,10462,118,6,460
10/1/2022,Terengganu,88,8,102,1635,16,3,59
10/1/2022,W.P. Kuala Lumpur,262,143,138,3325,49,2,159
10/1/2022,W.P. Labuan,5,0,8,95,1,0,3
10/1/2022,W.P. Putrajaya,30,5,11,404,4,0,19
11/1/2022,Johor,318,18,127,6231,71,3,217
