date,state,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax
1/1/2022,Johor,2,0,0,0,2
1/1/2022,Kedah,2,0,0,0,2
1/1/2022,Kelantan,1,0,1,0,0
1/1/2022,Melaka,0,0,0,0,0
1/1/2022,Negeri Sembilan,2,0,2,0,0
1/1/2022,Pahang,3,0,2,0,1
1/1/2022,Perak,2,0,1,0,1
1/1/2022,Perlis,0,0,0,0,0
1/1/2022,Pulau Pinang,1,1,0,0,1
1/1/2022,Sabah,4,2,2,0,2
1/1/2022,Sarawak,0,0,0,0,0
1/1/2022,Selangor,7,1,4,0,3
1/1/2022,Terengganu,0,0,0,0,0
1/1/2022,W.P. Kuala Lumpur,1,1,0,0,1
1/1/2022,W.P. Labuan,0,0,0,0,0
1/1/2022,W.P. Putrajaya,0,0,0,0,0
2/1/2022,Johor,3,0,1,0,2
2/1/2022,Kedah,1,0,1,0,0
2/1/2022,Kelantan,1,1,0,0,1
2/1/2022,Melaka,1,0,0,0,1
2/1/2022,Negeri Sembilan,0,0,0,0,0
2/1/2022,Pahang,1,1,0,0,1
2/1/2022,Perak,2,0,0,0,2
2/1/2022,Perlis,0,0,0,0,0
2/1/2022,Pulau Pinang,0,0,0,0,0
2/1/2022,Sabah,0,0,0,0,0
2/1/2022,Sarawak,0,0,0,0,0
2/1/2022,Selangor,4,1,0,0,3
2/1/2022,Terengganu,3,1,2,0,1
2/1/2022,W.P. Kuala Lumpur,2,0,1,0,1
2/1/2022,W.P. Labuan,0,0,0,0,0
2/1/2022,W.P. Putrajaya,0,0,0,0,0
3/1/2022,Johor,1,0,0,0,1
3/1/2022,Kedah,3,0,0,0,2
3/1/2022,Kelantan,1,0,0,0,1
3/1/2022,Melaka,1,0,0,0,1
3/1/2022,Negeri Sembilan,1,0,1,0,0
3/1/2022,Pahang,1,0,0,0,0
3/1/2022,Perak,3,0,0,0,3
3/1/2022,Perlis,0,0,0,0,0
3/1/2022,Pulau Pinang,2,1,1,0,1
3/1/2022,Sabah,0,0,0,0,0
3/1/2022,Sarawak,0,0,0,0,0
3/1/2022,Selangor,4,1,1,0,2
3/1/2022,Terengganu,1,0,1,0,0
3/1/2022,W.P. Kuala Lumpur,2,0,1,0,1
3/1/2022,W.P. Labuan,0,0,0,0,0
3/1/2022,W.P. Putrajaya,0,0,0,0,0
4/1/2022,Johor,2,1,1,0,1
4/1/2022,Kedah,2,1,2,0,0
4/1/2022,Kelantan,2,0,1,0,1
4/1/2022,Melaka,0,0,0,0,0
4/1/2022,Negeri Sembilan,0,0,0,0,0
4/1/2022,Pahang,2,0,1,0,1
4/1/2022,Perak,1,0,0,0,1
4/1/2022,Perlis,0,0,0,0,0
4/1/2022,Pulau Pinang,1,1,0,0,1
4/1/2022,Sabah,1,1,1,0,0
4/1/2022,Sarawak,0,0,0,0,0
4/1/2022,Selangor,3,2,1,0,2
4/1/2022,Terengganu,1,0,1,0,0
4/1/2022,W.P. Kuala Lumpur,0,0,0,0,0
4/1/2022,W.P. Labuan,0,0,0,0,0
4/1/2022,W.P. Putrajaya,0,0,0,0,0
5/1/2022,Johor,5,1,2,0,2
5/1/2022,Kedah,1,0,1,0,0
5/1/2022,Kelantan,1,0,0,0,1
5/1/2022,Melaka,1,0,0,0,1
5/1/2022,Negeri Sembilan,0,0,0,0,0
5/1/2022,Pahang,1,0,1,0,0
5/1/2022,Perak,2,0,1,0,1
5/1/2022,Perlis,0,0,0,0,0
5/1/2022,Pulau Pinang,1,0,0,0,1
5/1/2022,Sabah,5,1,1,1,3
5/1/2022,Sarawak,2,0,0,0,2
5/1/2022,Selangor,3,0,1,0,2
5/1/2022,Terengganu,4,1,3,0,0
5/1/2022,W.P. Kuala Lumpur,0,0,0,0,0
5/1/2022,W.P. Labuan,0,0,0,0,0
5/1/2022,W.P. Putrajaya,0,0,0,0,0
6/1/2022,Johor,2,0,0,0,2
6/1/2022,Kedah,4,1,2,0,2
6/1/2022,Kelantan,1,0,1,0,0
6/1/2022,Melaka,1,0,1,0,0
6/1/2022,Negeri Sembilan,0,0,0,0,0
6/1/2022,Pahang,1,0,1,0,0
6/1/2022,Perak,1,1,1,0,0
6/1/2022,Perlis,1,0,0,0,1
6/1/2022,Pulau Pinang,1,0,0,0,1
6/1/2022,Sabah,0,0,0,0,0
6/1/2022,Sarawak,0,0,0,0,0
6/1/2022,Selangor,2,0,0,0,2
6/1/2022,Terengganu,2,0,1,0,1
6/1/2022,W.P. Kuala Lumpur,0,0,0,0,0
6/1/2022,W.P. Labuan,0,0,0,0,0
6/1/2022,W.P. Putrajaya,0,0,0,0,0
7/1/2022,Johor,1,0,0,0,1
7/1/2022,Kedah,0,0,0,0,0
7/1/2022,Kelantan,0,0,0,0,0
7/1/2022,Melaka,1,0,0,0,1
7/1/2022,Negeri Sembilan,1,1,0,0,1
7/1/2022,Pahang,0,0,0,0,0
7/1/2022,Perak,1,0,0,0,1
7/1/2022,Perlis,0,0,0,0,0
7/1/2022,Pulau Pinang,1,1,0,0,1
7/1/2022,Sabah,1,0,1,0,0
7/1/2022,Sarawak,0,0,0,0,0
7/1/2022,Selangor,4,0,3,0,1
7/1/2022,Terengganu,3,0,2,0,1
7/1/2022,W.P. Kuala Lumpur,0,0,0,0,0
7/1/2022,W.P. Labuan,0,0,0,0,0
7/1/2022,W.P. Putrajaya,0,0,0,0,0
8/1/2022,Johor,2,0,0,0,2
8/1/2022,Kedah,2,0,0,0,2
8/1/2022,Kelantan,2,1,0,0,2
8/1/2022,Melaka,0,0,0,0,0
8/1/2022,Negeri Sembilan,0,0,0,0,0
8/1/2022,Pahang,2,1,1,0,1
8/1/2022,Perak,2,0,1,0,1
8/1/2022,Perlis,0,0,0,0,0
8/1/2022,Pulau Pinang,1,0,0,0,1
8/1/2022,Sabah,2,1,0,0,2
8/1/2022,Sarawak,0,0,0,0,0
8/1/2022,Selangor,2,0,0,0,2
8/1/2022,Terengganu,2,1,0,1,1
8/1/2022,W.P. Kuala Lumpur,1,0,1,0,0
8/1/2022,W.P. Labuan,0,0,0,0,0
8/1/2022,W.P. Putrajaya,0,0,0,0,0
9/1/2022,Johor,1,0,0,0,1
9/1/2022,Kedah,0,0,0,0,0
9/1/2022,Kelantan,1,0,0,0,1
9/1/2022,Melaka,0,0,0,0,0
9/1/2022,Negeri Sembilan,1,0,0,0,0
9/1/2022,Pahang,3,2,1,1,1
9/1/2022,Perak,1,0,0,0,1
9/1/2022,Perlis,0,0,0,0,0
9/1/2022,Pulau Pinang,0,0,0,0,0
9/1/2022,Sabah,1,1,0,0,1
9/1/2022,Sarawak,0,0,0,0,0
9/1/2022,Selangor,3,1,1,0,1
9/1/2022,Terengganu,5,1,3,0,2
9/1/2022,W.P. Kuala Lumpur,1,1,1,0,0
9/1/2022,W.P. Labuan,0,0,0,0,0
9/1/2022,W.P. Putrajaya,0,0,0,0,0
10/1/2022,Johor,0,0,0,0,0
10/1/2022,Kedah,0,0,0,0,0
10/1/2022,Kelantan,2,1,0,0,2
10/1/2022,Melaka,1,0,0,0,1
10/1/2022,Negeri Sembilan,1,0,1,0,0
10/1/2022,Pahang,1,0,1,0,0
10/1/2022,Perak,0,0,0,0,0
10/1/2022,Perlis,0,0,0,0,0
10/1/2022,Pulau Pinang,0,0,0,0,0
10/1/2022,Sabah,0,0,0,0,0
10/1/2022,Sarawak,0,0,0,0,0
10/1/2022,Selangor,2,1,1,0,1
10/1/2022,Terengganu,3,0,1,0,2
10/1/2022,W.P. Kuala Lumpur,2,0,1,0,1
10/1/2022,W.P. Labuan,0,0,0,0,0
10/1/2022,W.P. Putrajaya,0,0,0,0,0
11/1/2022,Johor,2,0,0,0,2
11/1/2022,Kedah,0,0,0,0,0
11/1/2022,Kelantan,1,0,0,0,1
11/1/2022,Melaka,0,0,0,0,0
11/1/2022,Negeri Sembilan,0,0,0,0,0
11/1/2022,Pahang,2,0,1,0,1
11/1/2022,Perak,0,0,0,0,0
11/1/2022,Perlis,0,0,0,0,0
11/1/2022,Pulau Pinang,0,0,0,0,0
11/1/2022,Sabah,1,0,1,0,0
11/1/2022,Sarawak,0,0,0,0,0
11/1/2022,Selangor,2,1,2,0,0
11/1/2022,Terengganu,0,0,0,0,0
11/1/2022,W.P. Kuala Lumpur,1,0,1,0,0
11/1/2022,W.P. Labuan,0,0,0,0,0
